PCA Algorithm,Data Packets,Distance Traveled,Computational Time
90Wh
Network 1,458,3130.78,22
Stan Dev,0.00000000,0.00000000
Confidence,0.00000000,0.00000000
Average,458.00,3130.78,22
Pecent Change,0.00000000,0.00000000,0.00000000

